Points;Local;Goals;xG;Shots on target;Passes ;Pass %;Possession, %;Losses ;Recoveries ;Duels won %;Penalty area entries (runs / crosses);Conceded goals;Shots against / on target;Aerial duels won %;Forward passes;Back passes ;% of all Passes Forward ;% of all passes Back
0;0;0;1.52;2;528;84.09;51.05;125;102;45.75;27;2;6;45.71;157;90;0.30;0.17
3;1;2;0.45;4;456;83.55;48.75;94;92;49.43;20;0;7;47.83;163;70;0.36;0.15
1;1;3;2.91;8;514;86.58;52.88;92;71;50;32;3;15;59.09;153;90;0.30;0.18
3;0;4;2.92;6;572;90.38;55.82;73;69;54.81;34;1;5;63.64;144;86;0.25;0.15
1;0;1;2.24;5;490;82.24;54.16;103;90;44.81;38;1;10;47.37;154;79;0.31;0.16
3;1;2;0.95;3;422;85.07;43.07;98;78;52.51;28;1;14;43.48;130;69;0.31;0.16
0;1;0;2.42;2;492;89.84;50.99;87;67;40.91;30;5;12;52.17;126;71;0.26;0.14
1;0;1;2.17;3;461;82;52.89;107;100;53.07;28;1;7;45.83;138;84;0.30;0.18
1;0;1;1.8;3;443;78.78;52.8;135;105;54.46;42;1;13;44.64;139;55;0.31;0.12
0;1;0;1.93;5;514;86.19;56.21;78;68;47.51;34;3;15;38.24;148;92;0.29;0.18
1;1;1;1.51;3;422;84.12;39.93;105;77;44.38;23;1;17;48.39;122;77;0.29;0.18
3;0;2;1.46;7;470;85.32;51.64;98;94;53.17;23;0;9;56.45;142;80;0.30;0.17
0;0;3;3.05;8;479;84.13;44.38;89;73;52.13;37;4;11;55.56;144;71;0.30;0.15
1;1;2;3.66;7;465;87.74;50.96;84;72;46.02;27;2;17;40;141;79;0.30;0.17
3;0;4;2.01;6;382;86.13;47.73;95;84;51.35;29;0;13;48.65;119;51;0.31;0.13
