Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Casa Ryda,ES,Smart TV,0,,,select,prequery_results,2023-04-17 09:15:37
Casa Ryda,ES,Smart TV,0,un,,play,title_results,2023-04-14 15:05:48
Casa Ryda,ES,Smart TV,0,un,,select,title_results,2023-04-14 15:05:46
Casa Ryda,ES,HTML 5,0,night,"The Night Agent: Season 1: ""Redial""",play,title_results,2023-04-13 20:15:25
Casa Ryda,ES,iPhone,0,love,,select,title_results,2023-04-13 17:52:17
Casa Ryda,ES,iPhone,0,love,"Love Is Blind: Season 1: ""The Weddings""",play,title_results,2023-04-13 17:52:07
Casa Ryda,ES,iPhone,0,love,,select,title_results,2023-04-13 17:51:55
Casa Ryda,ES,HTML 5,0,grown ups,Grown Ups,play,,2023-04-03 19:05:25
Casa Ryda,ES,HTML 5,0,ben,Gifted Hands: The Ben Carson Story,play,,2023-03-04 19:32:47
Casa Ryda,ES,Smart TV,0,franco,Superbad,play,suggestion_results,2023-02-26 19:46:57
Casa Ryda,ES,Smart TV,0,franco,Superbad,select,suggestion_results,2023-02-26 19:46:53
Casa Ryda,ES,Smart TV,0,franco,,select,suggestion_results,2023-02-26 19:46:48
Casa Ryda,ES,Smart TV,0,jon,,select,suggestion_results,2023-02-26 19:45:24
Casa Ryda,ES,Smart TV,0,aw,Green Book,play,suggestion_results,2023-02-13 18:56:48
Casa Ryda,ES,Smart TV,0,aw,Green Book,select,suggestion_results,2023-02-13 18:56:45
Casa Ryda,ES,Smart TV,0,aw,,select,suggestion_results,2023-02-13 18:56:36
Casa Ryda,ES,Smart TV,0,aw,,select,suggestion_results,2023-02-13 18:56:36
Casa Ryda,ES,Smart TV,0,aw,,select,suggestion_results,2023-02-13 18:55:49
Casa Ryda,ES,Smart TV,0,aw,,select,suggestion_results,2023-02-13 18:55:49
Casa Ryda,ES,Smart TV,0,jona,Stutz,play,suggestion_results,2023-01-31 18:02:24
Casa Ryda,ES,Smart TV,0,jona,Stutz,select,suggestion_results,2023-01-31 18:02:21
Casa Ryda,ES,Smart TV,0,jona,Yesterday,play,suggestion_results,2023-01-31 18:02:03
Casa Ryda,ES,Smart TV,0,jona,Yesterday,select,suggestion_results,2023-01-31 18:02:01
Casa Ryda,ES,Smart TV,0,jona,Yesterday,play,suggestion_results,2023-01-31 18:01:56
Casa Ryda,ES,Smart TV,0,jona,Yesterday,select,suggestion_results,2023-01-31 18:01:54
Casa Ryda,ES,Smart TV,0,jona,,select,suggestion_results,2023-01-31 18:01:48
Casa Ryda,ES,Smart TV,0,jona,,select,suggestion_results,2023-01-31 18:01:48
Casa Ryda,ES,Smart TV,0,al,,play,title_results,2023-01-22 11:51:57
Casa Ryda,ES,Smart TV,0,al,,play,title_results,2023-01-22 11:51:57
Casa Ryda,ES,Smart TV,0,al,,select,title_results,2023-01-22 11:51:46
Casa Ryda,ES,Smart TV,0,al,,select,title_results,2023-01-22 11:51:46
Casa Ryda,ES,Smart TV,0,rup,,play,title_results,2023-01-18 11:00:28
Casa Ryda,ES,Smart TV,0,rup,,play,title_results,2023-01-18 11:00:28
Casa Ryda,ES,Smart TV,0,rup,,select,title_results,2023-01-18 11:00:25
Casa Ryda,ES,Smart TV,0,rup,,select,title_results,2023-01-18 11:00:25
Casa Ryda,ES,iPhone,0,ancie,,select,title_results,2022-12-29 17:24:43
Casa Ryda,ES,HTML 5,0,linco,"The Lincoln Lawyer: Season 1: ""He Rides Again""",play,,2022-12-25 21:37:46
Casa Ryda,ES,HTML 5,0,linco,"The Lincoln Lawyer: Season 1: ""He Rides Again""",play,,2022-12-25 21:37:46
Casa Ryda,ES,Smart TV,0,off,Office Christmas Party,play,title_results,2022-12-25 10:47:18
Casa Ryda,ES,Smart TV,0,off,Office Christmas Party,play,title_results,2022-12-24 15:26:33
Casa Ryda,ES,Smart TV,0,off,Office Christmas Party,play,title_results,2022-12-24 15:26:33
Casa Ryda,ES,Smart TV,0,off,Office Christmas Party,play,title_results,2022-12-24 10:57:51
Casa Ryda,ES,Smart TV,0,off,Office Christmas Party,play,title_results,2022-12-24 10:57:51
Casa Ryda,ES,Smart TV,0,off,Office Christmas Party,select,title_results,2022-12-24 10:57:49
Casa Ryda,ES,Smart TV,0,off,Office Christmas Party,select,title_results,2022-12-24 10:57:49
Casa Ryda,ES,HTML 5,0,christmas,Office Christmas Party,play,,2022-12-22 22:26:58
Casa Ryda,ES,HTML 5,0,christmas,Office Christmas Party,play,,2022-12-22 22:26:58
Casa Ryda,ES,Smart TV,0,the ci,,play,title_results,2022-12-22 19:35:40
Casa Ryda,ES,Smart TV,0,the ci,,play,title_results,2022-12-22 19:35:40
Casa Ryda,ES,Smart TV,0,the ci,,select,title_results,2022-12-22 19:35:38
Casa Ryda,ES,Smart TV,0,the ci,,select,title_results,2022-12-22 19:35:38
Casa Ryda,ES,Smart TV,0,jonah,"Game Over, Man!",play,suggestion_results,2022-12-22 14:30:43
Casa Ryda,ES,Smart TV,0,jonah,"Game Over, Man!",select,suggestion_results,2022-12-22 14:30:39
Casa Ryda,ES,Smart TV,0,jonah,,select,suggestion_results,2022-12-22 14:28:50
Casa Ryda,ES,Smart TV,0,jonah,,select,suggestion_results,2022-12-22 14:28:50
Casa Ryda,ES,Smart TV,0,kni,Glass Onion: A Knives Out Mystery,select,title_results,2022-12-22 14:27:56
Casa Ryda,ES,Smart TV,0,kni,Glass Onion: A Knives Out Mystery,select,title_results,2022-12-22 14:27:56
